key,en,pt,es,zh-cn,ko,zh-tw
SERVICE_FAIL_CONFIGURATION,Service is not configured correctly. Type 'hint' if you are stuck.,"O Service não foi configurado corretamente. Digite ""hint"" caso precise de ajuda.","El servicio no se ha configurado correctamente. Si necesitas ayuda al respecto, escribe ""hint"".",服务配置不正确。如果您不知道如何操作，请输入“hint”获取提示。,서비스가 올바르게 구성되지 않았습니다. 문제 해결이 어려우면 'hint'를 입력하세요.,Service 的設定不正確。遇到問題時，您可以輸入「hint」。
CONFIGMAP_HELP,"
In the ""challenge"" namespace you previously created, create a ConfigMap called ""prod-configmap"" with a key named ""username"" with any value.

Then create a generic Secret called ""prod-secret"" with a key named ""password"" with any value in the challenge namespace.
","
No namespace ""challenge"" criado anteriormente, inclua um ConfigMap chamado ""prod-configmap"" com uma chave denominada ""username"" de qualquer valor.

Em seguida, crie um generic Secret chamado ""prod-secret"" com uma chave ""password"" de qualquer valor no namespace ""challenge"".
","
En el espacio de nombres ""challenge"" del que ya dispones, crea un ConfigMap llamado ""prod-configmap"" con una clave denominada ""username"" con un valor cualquiera.

Luego, crea un secreto genérico llamado ""prod-secret"" con una clave denominada ""password"" con un valor cualquiera en el espacio de nombres ""challenge"".
","
在您之前创建的“challenge”命名空间中，创建一个名为“prod-configmap”的 ConfigMap，它具有值为任意值的“username”的键。

然后在 challenge 命名空间中创建一个名为“prod-secret”的常规 Secret，它具有值为任意值的“password”的键。
","
이전에 만든 'challenge' 네임스페이스에서 아무 값이나 포함된 'username'이라는 키를 사용해서 'prod-configmap'이라는 ConfigMap을 만드세요.

그런 후 challenge 네임스페이스에 있는 아무 값이나 포함된 'password'라는 키를 사용해서 'prod-secret'라는 일반 Secret을 만드세요.
","
請在您稍早建立的「challenge」命名空間中建立名為「prod-configmap」的 ConfigMap；使用的鍵名為「username」的鍵，可自行設定任意值。

接著，請在 challenge 命名空間中建立名為「prod-secret」的一般 Secret；使用的鍵名為「password」，可自行設定任意值。
"
CONFIGMAP_HINT,"
The kubectl cli can be used to create ConfigMaps.

You can do this with: kubectl create configmap <NAME OF CONFIGMAP> <OPTIONS>

To create a ConfigMap called 'prod-configmap' and to create a key inside that ConfigMap called 'username', run:

'kubectl create configmap prod-configmap --from-literal=username=Your_Value_Here --namespace=challenge'

The kubectl cli can also be used to create Secrets.

You can do this with: kubectl create secret <TYPE OF SECRET> <NAME OF SECRET> <OPTIONS>

To create a Secret called 'prod-secret' and to create a key inside that Secret called 'password', run:

'kubectl create secret generic prod-secret --from-literal=password=Your_Value_Here --namespace=challenge'
","
A CLI kubectl pode ser usada para gerar ConfigMaps.

É possível fazer isso usando o comando: kubectl create configmap <NAME OF CONFIGMAP> <OPTIONS>

Para criar um ConfigMap chamado ""prod-configmap"" e uma chave ""username"" dentro dele, execute:

'kubectl create configmap prod-configmap --from-literal=username=Your_Value_Here --namespace=challenge'

A CLI kubectl também pode ser usada para gerar Secrets.

É possível fazer isso usando o comando: kubectl create secret <TYPE OF SECRET> <NAME OF SECRET> <OPTIONS>

Para criar um Secret chamado ""prod-secret"" e uma chave ""username"" dentro dele, execute:

'kubectl create secret generic prod-secret --from-literal=password=Your_Value_Here --namespace=challenge'
","
A la hora de crear ConfigMaps, puedes usar la CLI ""kubectl"".

Para hacerlo, usa el comando: kubectl create configmap <NOMBRE DEL CONFIGMAP> <OPCIONES>

Para crear un ConfigMap denominado ""prod-configmap"" y una clave en dicho ConfigMap denominada ""username"", ejecuta el siguiente comando:

kubectl create configmap prod-configmap --from-literal=username=Your_Value_Here --namespace=challenge

También puedes usar la CLI ""kubectl"" para crear secretos.

Para hacerlo, usa el siguiente comando: kubectl create secret <TIPO DE SECRETO> <NOMBRE DEL SECRETO> <OPCIONES>

Para crear un secreto llamado ""prod-secret"" y una clave en dicho secreto denominada ""password"", ejecuta este comando:

kubectl create secret generic prod-secret --from-literal=password=Your_Value_Here --namespace=challenge
","
kubectl cli 可用于创建 ConfigMap。

您可使用以下命令执行此操作：kubectl create configmap <CONFIGMAP 的名称> <选项>

要创建名为“prod-configmap”的 ConfigMap，并在该 ConfigMap 中创建名为“username”的键，请运行以下命令：

kubectl create configmap prod-configmap --from-literal=username=Your_Value_Here --namespace=challenge

kubectl cli 还可用于创建 Secret。

您可使用以下命令执行此操作：kubectl create secret <SECRET 的类型> <SECRET 的名称> <选项>

要创建名为“prod-secret”的 Secret，并在该 Secret 中创建名为“password”的键，请运行以下命令：

kubectl create secret generic prod-secret --from-literal=password=Your_Value_Here --namespace=challenge
","
kubectl cli를 사용하여 ConfigMaps를 만들 수 있습니다.

이를 위한 명령어는 kubectl create configmap <NAME OF CONFIGMAP> <OPTIONS>입니다.

'prod-configmap'이라는 ConfigMap을 만들고 이 ConfigMap 내에서 'username'이라는 키를 만들려면 다음 명령어를 실행하세요.

'kubectl create configmap prod-configmap --from-literal=username=Your_Value_Here --namespace=challenge'

또한 kubectl cli를 사용하여 Secrets를 만들 수 있습니다.

이를 위한 명령어는 kubectl create secret <TYPE OF SECRET> <NAME OF SECRET> <OPTIONS>입니다.

'prod-secret'이라는 Secret을 만들고 이 Secret 내에 'password'라는 키를 만들려면 다음 명령어를 실행하세요.

'kubectl create secret generic prod-secret --from-literal=password=Your_Value_Here --namespace=challenge'
","
您可以使用 kubectl CLI 來建立 ConfigMap。

您可以使用下列指令來執行這項操作：kubectl create configmap <CONFIGMAP 的名稱> <選項>

如要建立名為「prod-configmap」的 ConfigMap，並在該 ConfigMap 中建立名為「username」的鍵，請執行：

'kubectl create configmap prod-configmap --from-literal=username=Your_Value_Here --namespace=challenge'

kubectl CLI 也可以用來建立 Secret。

您可以使用下列指令來執行這項操作：kubectl create secret <SECRET 的類型> <SECRET 的名稱> <選項>

如要建立名為「prod-secret」的 Secret，並在該 Secret 中建立名為「password」的鍵，請執行：

'kubectl create secret generic prod-secret --from-literal=password=Your_Value_Here --namespace=challenge'
"
CONFIGMAP_FAIL_NO_CONFIGMAP,Could not find ConfigMap called 'prod-configmap' in the namespace 'challenge'. Type 'hint' if you are stuck.,"Não foi possível encontrar um ConfigMap chamado ""prod-configmap"" no namespace ""challenge"". Digite ""hint"" caso precise de ajuda.","No se ha encontrado el ConfigMap denominado ""prod-configmap"" en el espacio de nombres ""challenge"". Si necesitas ayuda al respecto, escribe ""hint"".",在命名空间“challenge”中找不到名为“prod-configmap”的 ConfigMap。如果您不知道如何操作，请输入“hint”获取提示。,challenge' 네임스페이스에서 'prod-configmap'이라는 ConfigMap을 찾을 수 없습니다. 문제 해결이 어려우면 'hint'를 입력하세요.,無法在「challenge」命名空間中找到名為「prod-configmap」的 ConfigMap。遇到問題時，您可以輸入「hint」。
CONFIGMAP_FAIL_NO_USERNAME,Could not find ConfigMap called 'prod-configmap' with a key called 'username' in the namespace 'challenge'. Type 'hint' if you are stuck.,"Não foi possível encontrar no namespace ""challenge"" um ConfigMap chamado ""prod-configmap"" que contenha uma chave ""username"". Digite ""hint"" caso precise de ajuda.","No se ha encontrado el ConfigMap denominado ""prod-configmap"" con una clave llamada ""username"" en el espacio de nombres ""challenge"". Si necesitas ayuda al respecto, escribe ""hint"".",在命名空间“challenge”中找不到名为“prod-configmap”、键为“username”的 ConfigMap。如果您不知道如何操作，请输入“hint”获取提示。,challenge' 네임스페이스에서 'username'이라는 키가 사용된 'prod-configmap'이라는 ConfigMap을 찾을 수 없습니다. 문제 해결이 어려우면 'hint'를 입력하세요.,無法在「challenge」命名空間中找到名為「prod-configmap」並具備「username」鍵的 ConfigMap。遇到問題時，您可以輸入「hint」。
CONFIGMAP_FAIL_NO_SECRET,Could not find Secret called 'prod-secret' in the namespace 'challenge'. Type 'hint' if you are stuck.,"Não foi possível encontrar um Secret chamado ""prod-secret"" no namespace ""challenge"". Digite ""hint"" caso precise de ajuda.","No se ha encontrado el secreto denominado ""prod-secret"" en el espacio de nombres ""challenge"". Si necesitas ayuda al respecto, escribe ""hint"".",在命名空间“challenge”中找不到名为“prod-secret”的 Secret。如果您不知道如何操作，请输入“hint”获取提示。,challenge' 네임스페이스에서 'prod-secret'이라는 Secret을 찾을 수 없습니다. 문제 해결이 어려우면 'hint'를 입력하세요.,無法在「challenge」命名空間中找到名為「prod-secret」的 Secret。遇到問題時，您可以輸入「hint」。
CONFIGMAP_FAIL_NO_PASSWORD,Could not find Secret called 'prod-secret' with a key called 'password' in the namespace 'challenge'. Type 'hint' if you are stuck.,"Não foi possível encontrar no namespace ""challenge"" um Secret chamado ""prod-secret"" que contenha uma chave ""password"". Digite ""hint"" caso precise de ajuda.","No se ha encontrado el secreto denominado ""prod-secret"" con una clave llamada ""password"" en el espacio de nombres ""challenge"". Si necesitas ayuda al respecto, escribe ""hint"".",在命名空间“challenge”中找不到名为“prod-secret”、键为“password”的 Secret。如果您不知道如何操作，请输入“hint”获取提示。,challenge' 네임스페이스에서 'password'라는 키가 사용된 'prod-secret'이라는 Secret을 찾을 수 없습니다. 문제 해결이 어려우면 'hint'를 입력하세요.,無法在「challenge」命名空間中找到名為「prod-secret」並具備「password」鍵的 Secret。遇到問題時，您可以輸入「hint」。
COMBINED_HELP_1,You can see that your app is now serving traffic on a public IP address!,Seu aplicativo agora está veiculando tráfego em um endereço IP público!,"Ahora, puedes ver que tu aplicación sirve el tráfico en una dirección IP pública.",您可以发现，您的应用现在已在公共 IP 地址上处理流量了！,이제 앱이 공개 IP 주소로 트래픽을 처리하는 것을 확인할 수 있습니다.,現在您的應用程式正在透過公開 IP 位址提供流量！
COMBINED_HELP_2,"While it looks slick, you can see that the username and password we created aren't being used!

Update the ""frontend-deployment"" Deployment to have an environment variable called ""USERNAME"" that gets its value from the ConfigMap you created, and another environment variable called ""PASSWORD"" that gets is value from the Secret you created.

cURL the exposed service, and save the output of the service to a file called finished.txt

The `deployment.yaml` file has been updated for you to use again.","Embora isso seja só um detalhe, o nome de usuário e a senha que criamos não estão sendo usados!

Atualize o Deployment ""frontend-deployment"" para gerar uma variável de ambiente chamada ""USERNAME"" que use o valor do ConfigMap que você criou e outra variável chamada ""PASSWORD"" que utilize o valor do Secret.

Crie um cURL para o serviço publicado e salve a saída em um arquivo chamado finished.txt.

O arquivo ""deployment.yaml"" foi atualizado.","Aunque el resultado tenga un aspecto profesional, verás que no se están usando ni el nombre de usuario ni la contraseña que se han creado.

Actualiza el despliegue ""frontend-deployment"" para tener una variable de entorno denominada ""USERNAME"" que obtenga su valor a partir del ConfigMap que has creado, y otra variable de entorno denominada ""PASSWORD"" que obtenga su valor a partir del secreto que creaste.

Utiliza el comando cURL en el servicio que se expone y guarda el resultado en un archivo llamado ""finished.txt""

Hemos actualizado el archivo ""deployment.yaml"" para que vuelvas a usarlo.","虽然看起来一切正常，但您会发现，我们创建的用户名和密码根本没用到。

更新“frontend-deployment”部署以设置一个名为“USERNAME”的环境变量（该变量从您创建的 ConfigMap 中获取值），以及另一个名为“PASSWORD”的环境变量（该变量从您创建的 Secret 中获取值）。

对公开的服务运行 cURL 命令，并将服务的输出保存到名为 finished.txt 的文件中

“deployment.yaml”已经更新以供您再次使用。","문제가 없어 보이지만, 여기에서 만든 사용자 이름과 비밀번호가 사용되지 않는 것을 확인할 수 있습니다.

사용자가 만든 ConfigMap에서 값을 가져오는 'USERNAME'이라는 환경 변수와 사용자가 만든 Secret에서 값을 가져오는 'PASSWORD'라는 또 다른 환경 변수가 포함되도록 'frontend-deployment' Deployment를 업데이트하세요.

제공된 서비스를 cURL로 실행하고 서비스 출력을 finished.txt라는 파일에 저장합니다.

다시 사용할 수 있도록 `deployment.yaml` 파일이 업데이트되었습니다.","雖然看起來一切順利，但您可以發現系統目前並未使用我們建立的使用者名稱和密碼！

請更新「frontend-deployment」Deployment，藉此取得名為「USERNAME」的環境變數，這項變數會從您建立的 ConfigMap 取得資料值，另一項名為「PASSWORD」的環境變數則會從您建立的 Secret 取得資料值。

請使用 cURL 執行已公開發布的服務，並將該項服務的輸出內容儲存至名為 finished.txt 的檔案

「deployment.yaml」檔案已更新完畢，可供您再次使用。"
COMBINED_HINT,"
Open the 'deployment.yaml' file that was created for you.

For the first name, use 'USERNAME'. This tells Kubernetes what the environment variable will be called.
For the ConfigMap name, use 'prod-configmap'. This tells Kubernetes which ConfigMap to look in.
For the ConfigMap key, use 'username'. This tells Kubernetes which key in the ConfigMap to use.

For the second name, use 'PASSWORD'. This tells Kubernetes what the environment variable will be called.
For the Secret name, use 'prod-secret'. This tells Kubernetes which Secret to look in.
For the Secret key, use 'username'. This tells Kubernetes which key in the Secret to use.

Save the file, and deploy it with:

'kubectl apply -f deployment.yaml'

Now, get the External IP address of your service:

'kubectl get service frontend-service --namespace challenge'

Then, curl the output and save it to finished.txt
","
Abra o arquivo ""deployment.yaml"" criado.

Use ""USERNAME"" como o primeiro nome. Isso informa ao Kubernetes o nome da variável de ambiente.
Use ""prod-configmap"" como o nome do ConfigMap. Isso informa ao Kubernetes qual ConfigMap procurar.
Para a chave do ConfigMap, use ""username"". Isso informa ao Kubernetes qual chave do ConfigMap usar.

Use ""PASSWORD"" como o segundo nome. Isso informa ao Kubernetes o nome da variável de ambiente.
Use ""prod-secret"" como o nome do Secret. Isso informa ao Kubernetes qual Secret procurar.
Para a chave do Secret, use ""username"". Isso informa ao Kubernetes qual chave do Secret usar.

Salve o arquivo e implante-o usando o comando:

'kubectl apply -f deployment.yaml'

Agora verifique o endereço IP externo do seu serviço:

'kubectl get service frontend-service --namespace challenge'

Depois, crie um cURL para a saída e salve-a como finished.txt
","
Abre el archivo ""deployment.yaml"" que hemos creado.

En el primer nombre, introduce ""USERNAME"". De este modo, Kubernetes sabrá cómo se llamará la variable de entorno.
En el nombre de ConfigMap, indica ""prod-configmap"" para que Kubernetes sepa en qué ConfigMap debe buscar.
En la clave del ConfigMap, indica ""username"". De esta manera, Kubernetes sabrá qué clave debe usar en el ConfigMap.

En el segundo nombre, introduce ""PASSWORD"" para que Kubernetes sepa cómo se llamará la variable de entorno.
En el nombre del secreto, indica ""prod-secret"". De este modo, Kubernetes sabrá en qué secreto debe buscar.
En la clave del secreto, indica ""username"" para que Kubernetes sepa qué clave del secreto debe usar.

Guarda el archivo y despliégalo con el siguiente comando:

kubectl apply -f deployment.yaml

A continuación, obtén la dirección IP externa de tu servicio de la siguiente forma:

kubectl get service frontend-service --namespace challenge

Luego, utiliza el comando cURL en el resultado y guárdalo como ""finished.txt"".
","
打开为您创建的“deployment.yaml”文件。

对于第一个 name，使用“USERNAME”。这会告诉 Kubernetes 该环境变量的名称是什么。
对于 ConfigMap name，使用“prod-configmap”。这会告诉 Kubernetes 查看哪个 ConfigMap。
对于 ConfigMap key，使用“username”。这会告诉 Kubernetes 使用 ConfigMap 中的哪个键。

对于第二个 name，使用“PASSWORD”。这会告诉 Kubernetes 该环境变量的名称是什么。
对于 Secret name，使用“prod-secret”。这会告诉 Kubernetes 查看哪个 Secret。
对于 Secret key，使用“username”。这会告诉 Kubernetes 使用 Secret 中的哪个键。

保存该文件，并使用以下名称对其进行部署：

kubectl apply -f deployment.yaml

现在，获取您的服务的外部 External IP 地址：

kubectl get service frontend-service --namespace challenge

然后，运行 curl 命令并将输出保存到 finished.txt
","
생성된 'deployment.yaml' 파일을 여세요.

첫 번째 이름에 'USERNAME'을 사용하세요. 그러면 Kubernetes에 호출할 환경 변수가 지정됩니다.
ConfigMap 이름에는 'prod-configmap'을 사용하세요. 그러면 Kubernetes에 조회할 ConfigMap이 지정됩니다.
ConfigMap 키에는 'username'을 사용하세요. 그러면 Kubernetes에 ConfigMap에서 사용할 키가 지정됩니다.

두 번째 이름에 'PASSWORD'를 사용하세요. 그러면 Kubernetes에 호출할 환경 변수가 지정됩니다.
Secret 이름에는 'prod-secret'을 사용하세요. 그러면 Kubernetes에 조회할 Secret이 지정됩니다.
Secret 키에는 'username'을 사용하세요. 그러면 Kubernetes에 Secret에서 사용할 키가 지정됩니다.

파일을 저장하고 다음 명령어를 사용해서 배포하세요.

'kubectl apply -f deployment.yaml'

이제 서비스의 외부 IP 주소를 가져오세요.

'kubectl get service frontend-service --namespace challenge'

그런 후 출력을 curl하고 이를 finished.txt로 저장하세요.
","
請開啟系統為您建立的「deployment.yaml」檔案。

請使用「USERNAME」來當做第一個名稱。這項操作會向 Kubernetes 指明環境變數要使用的名稱。
請使用「prod-configmap」這個 ConfigMap 名稱。這項操作會向 Kubernetes 指明要查看的 ConfigMap。
請使用「username」這個 ConfigMap 鍵。這項操作會向 Kubernetes 指明要使用的 ConfigMap 鍵。

請使用「PASSWORD」來當做第二個名稱。這項操作會向 Kubernetes 指明環境變數要使用的名稱。
請使用「prod-secret」這個 Secret 名稱。這項操作會向 Kubernetes 指明要查看的 Secret。
請使用「username」這個 Secret 鍵。這項操作會向 Kubernetes 指明要使用的 Secret 鍵。

儲存檔案，然後使用下列指令來部署該檔案：

'kubectl apply -f deployment.yaml'

現在，請擷取服務的外部 IP 位址：

'kubectl get service frontend-service --namespace challenge'

接著，請使用 curl 產生輸出內容，並儲存至 finished.txt
"
COMBINED_FAIL_ENV,Deployment does not have the environment variables properly defined. Type 'hint' if you are stuck.,"As variáveis de ambiente não foram definidas corretamente para o Deployment. Digite ""hint"" caso precise de ajuda.","Las variables de entorno del despliegue no están definidas correctamente. Si necesitas ayuda al respecto, escribe ""hint"".",部署的环境变量未正确定义。如果您不知道如何操作，请输入“hint”获取提示。,Deployment에는 올바르게 정의된 환경 변수가 없습니다. 문제 해결이 어려우면 'hint'를 입력하세요.,Deployment 的環境變數定義不正確。遇到問題時，您可以輸入「hint」。
COMBINED_FAIL_FILE, 'finished.txt' not found. Type 'hint' if you are stuck,"O ""finished.txt"" não foi encontrado. Digite ""hint"" caso precise de ajuda.","No se ha encontrado ""finished.txt"". Si necesitas ayuda al respecto, escribe ""hint"".",未找到“finished.txt”。如果您不知道如何操作，请输入“hint”获取提示, 'finished.txt'를 찾을 수 없습니다. 문제 해결이 어려우면 'hint'를 입력하세요.,找不到「finished.txt」。遇到問題時，您可以輸入「hint」
