key,en,pt,es,zh-cn,zh-tw,ko,zh-HK
ANALYZING_VIDEO_HELP,"The puppy in ""video1.mp4"" wants to be your friend! But only if you can
find her. Using ""gcloud"", send this good girl through Google's Video
Intelligence API and report back the starting time in seconds (for example, ""7"")
when she appears.

*HINT* Type ""gcloud ml video"" to get started.","O cãozinho no ""video1.mp4"" quer ser seu amigo! Mas só se você conseguir encontrá-lo. Usando a **gcloud**, envie o filhote para a API Video Intelligence do Google e informe os segundos (por exemplo, ""7"") em que ele começa a aparecer.

*DICA* Digite ""gcloud ml vídeo"" para começar.","La cachorrita que aparece en ""video1.mp4"" quiere ser tu amiga. Pero solo si la encuentras. Usa un comando ""gcloud"" para enviar el vídeo a la API Video Intelligence de Google, que lo analizará, y dinos el momento exacto en segundos en el que aparece el animalito (por ejemplo: ""7"").

*NOTA:* Escribe ""gcloud ml video"" para empezar.","“video1.mp4” 里的小狗想成为您的朋友！前提是您能够找到它。借助 **gcloud**，您可以将这只可爱小狗的视频发送到 Google 的 Video Intelligence API，该 API 会以秒为单位返回小狗在视频中开始出现的时间（例如“7”）。

*提示*：输入“gcloud ml video” 即可开始使用。","「video1.mp4」中的小狗想要跟您做朋友！但您必須能找到她。請使用「gcloud」，透過 Google 的 Video Intelligence API 傳送這隻乖寶寶的影片，然後回報她是在影片中的第幾秒出現的 (例如「7」)。

*提示* 輸入「gcloud ml video」即可開始。","video1.mp4' 동영상 속 강아지가 여러분과 친구가 되고 싶어합니다. 하지만 여러분만이 강아지를 찾을 수 있답니다. 'gcloud'를 사용해 Google의 Video Intelligence API로 강아지 동영상을 보낸 다음 강아지가 화면에 나타나는 시작 시간을 초 단위(예: '7초')로 다시 알려주세요.

*힌트* 시작하려면 'gcloud ml video'를 입력하세요.","試試執行以下指令：
 
 gcloud ml vision detect-labels doggo1.png --max-results=6
 
 並查看「描述」中的首個值，此值描述狗隻的品種。請務必選擇「分數」值最高的品種！"
ANALYZING_VIDEO_HINT,"Try running the following command:

    gcloud ml video detect-labels video1.mp4 | more

Look for the value of ""startTimeOffset"" where the entity ""description"" is
""dog"" or ""puppy""","Execute o seguinte comando:

    gcloud ml video detect-labels video1.mp4 | more

Procure o valor de ""startTimeOffset"" cuja entidade ""description"" é
""dog"" ou ""puppy""","Prueba a ejecutar el siguiente comando:

    gcloud ml video detect-labels video1.mp4 | more

Busca el valor de ""startTimeOffset"", donde la entidad ""description"" sea ""dog"" o ""puppy"".","请尝试运行以下命令：

    gcloud ml video detect-labels video1.mp4 | more

查找“startTimeOffset”的值，其中实体“description”为“dog”或“puppy”","請嘗試執行以下指令：

    gcloud ml video detect-labels video1.mp4 | more

先尋找「description」為「dog」或「puppy」的資料欄，再找出其中的「startTimeOffset」值","다음 명령어를 실행해보세요.

    gcloud ml video detect-labels video1.mp4 | more

항목 'description'이 'dog' 또는 'puppy'인 'startTimeOffset'의
값을 찾으세요.","小狗最明顯的所屬品種是什麽？
 玩具鬥牛犬
 英國鬥牛犬
 波士頓㹴
 蘇格蘭㹴
 查理斯王騎士犬"
REDACT_TEXT_HELP,"Oh no! Someone wrote a memo containing sensitive information! You need to scan
the text in ""memo.txt"" and find out what it is. Lucky for you, the DLP API can
identify sensitive information.
There is only one name of a person in ""memo.txt"" with the likelyhood of
""Likely"". What is that name?

*HINT* Type ""gcloud alpha dlp"" to get started.","Ah, não! Alguém escreveu informações confidenciais em uma nota! Digitalize o texto no arquivo ""memo.txt"" e descubra que informação é essa. Ainda bem que a API DLP consegue identificar informações confidenciais.
Só existe um nome no ""memo.txt"" com status ""Provável"". Que nome é esse?

*DICA* Digite ""gcloud alpha dlp"" para começar.","¡No puede ser! Alguien ha escrito una nota que contiene información sensible. Analiza el texto de ""memo.txt"" para descubrir qué contiene. Por suerte, puedes usar la API Data Loss Prevention (DLP) para encontrar esa información.
En ""memo.txt"" solo aparece el nombre de una persona con el valor de probabilidad ""Likely"". ¿Cuál es ese nombre?

*NOTA:* Escribe ""gcloud alpha dlp"" para empezar.","糟糕！有人写了一份包含敏感信息的备忘录！您需要扫描“memo.txt”中的文本并弄清具体的敏感信息。幸运的是，您可以借助 DLP API 来识别敏感信息。
“memo.txt”中只有一个可能像“Likely”的名字。这个名字是什么？

*提示*：输入“gcloud alpha dlp”即可开始使用。","糟糕！有人寫了一份備忘錄，其中包含機密資訊！您必須掃描「memo.txt」中的文字，並找出那項機密資訊是什麼。幸運的是，DLP API 可以識別機密資訊。
「memo.txt」中很可能只有一個人名。這個名字是什麼？

*提示* 輸入「gcloud alpha dlp」即可開始。","이런, 어떤 사람이 민감한 정보를 메모로 작성했네요.
'memo.txt'에 포함된 텍스트를 검사하여 내용을 확인해야 합니다.
다행히 DLP API를 사용하면 민감한 정보를 식별할 수 있습니다.
'memo.txt'에는 이름이 하나만 있고, 일치 가능성은 'Likely'입니다.

*힌트* 시작하려면 'gcloud alpha dlp'를 입력하세요.",波士頓㹴
REDACT_TEXT_HINT,"Try running the following command:

    gcloud alpha dlp text inspect \\
        --content-file=memo.txt \\
        --include-quote \\
        --min-likelihood=LIKELY

Look for the finding with ""infoType"" equal to ""PERSON_NAME"", specifically the value
of the ""quote"" field.","Execute o seguinte comando:

    gcloud alpha dlp text inspect \\
        --content-file=memo.txt \\
        --include-quote \\
        --min-likelihood=LIKELY

Procure pela entrada em que ""infoType"" é ""PERSON_NAME"", especificamente o valor do campo ""quote"".","Prueba a ejecutar el siguiente comando:

    gcloud alpha dlp text inspect \\ --content-file=memo.txt \\ --include-quote \\ --min-likelihood=LIKELY

Busca el resultado que tenga ""PERSON_NAME"" como ""infoType"", en concreto como valor del campo ""quote"".","请尝试运行以下命令：

    gcloud alpha dlp text inspect \\
        --content-file=memo.txt \\
        --include-quote \\
        --min-likelihood=LIKELY

查找“infoType”为“PERSON_NAME”的发现结果（具体来说，就是“quote”字段的值）。","請嘗試執行以下指令：

    gcloud alpha dlp text inspect \\
        --content-file=memo.txt \\
        --include-quote \\
        --min-likelihood=LIKELY

找出「infoType」等於「PERSON_NAME」的結果 (請特別注意「quote」欄位的值)。","다음 명령어를 실행해보세요.

    gcloud alpha dlp text inspect \\
        --content-file=memo.txt \\
        --include-quote \\
        --min-likelihood=LIKELY

'quote' 필드 값에서 'infoType'이 'PERSON_NAME'과 동일한 결과를 찾으세요.",英國鬥牛犬
REDACT_TEXT_CHOICES,"What is the sensitive name in memo.txt?
Donald Fleasley
Paul Fleishman
Paul
Fatty
Revolio Clockberg
Revolio Clockberg Jr.","Qual é o nome confidencial no memo.txt?
Donald Fleasley
Paul Fleishman
Paul
Fatty
Revolio Clockberg
Revolio Clockberg Jr.","¿Cuál es el nombre sensible que aparece en memo.txt?
Donald Fleasley
Paul Fleishman
Paul
Fatty
Revolio Clockberg
Revolio Clockberg Jr.","memo.txt 中的敏感名字是什么？
Donald Fleasley
Paul Fleishman
Paul
Fatty
Revolio Clockberg
Revolio Clockberg Jr.","memo.txt 中的機密姓名是什麼？
Donald Fleasley
Paul Fleishman
Paul
Fatty
Revolio Clockberg
Revolio Clockberg Jr.","memo.txt에 적혀 있는 민감한 이름은 무엇인가요?
Donald Fleasley (도널드 플리즐리)
Paul Fleishman (폴 플리쉬맨)
Fatty (폴 패티)
Revolio Clockberg (레볼리오 클로크버그)
Revolio Clockberg Jr. (레볼리오 클로크버그 주니어)",非常接近！不過更明顯是其他品種的狗
REDACT_TEXT_ANSWER,paul fleishman,paul fleishman,paul fleishman,paul fleishman,paul fleishman,paul fleishman (폴 플리쉬맨),"我們提供了三個音效檔案：「quote1.wav」、「quote2.wav」和「quote3.wav」。請識別這些對白來自哪一部 90 年代經典電影，以測試您的流行文化知識。請使用 Speech to Text API，將聲音轉換為文字，並匯報電影名稱。
 
 *提示*輸入「gcloud ml speech」即可開始。"
,,,,,,,"試試執行以下指令：
 
 gcloud ml speech recognize quote1.wav --language-code=en
 
 使用「quote2.wav」和「quote3.wav」執行相同指令。
 
 如您無法識別此電影，請使用 googler script 執行對白，以協助識別：
 
 googler：「這是電影對白！」"
,,,,,,,"這些對白來自哪一套電影？
 沉默的羔羊
 侏羅紀公園
 瘟室
 危險人物
 阿甘正傳"
,,,,,,,侏羅紀公園
,,,,,,,"「video1.mp4」中的小狗希望成為您的朋友！不過您必須把她找出來。使用「gcloud」，透過 Google 的 Video Intelligence API 傳送這隻可愛小狗，並匯報她首次出現的時間是第幾秒 (例如「7」)。
 
 *提示*輸入「gcloud ml video」即可開始。"
,,,,,,,"試試執行以下指令：
 
 gcloud ml video detect-labels video1.mp4 | more
 
 查看「startTimeOffset」的值，其實體「描述」是「狗」或「小狗」"
,,,,,,,"哇！不妙！有人寫了張含有敏感資料的便條！您必須分析「memo.txt」中的文字並找出此資料。幸運地，DLP API 可識別敏感資料。
 「memo.txt」只含有一個人名，可能性是「可能」。此名字是什麽？
 
 *提示*輸入「gcloud alpha dlp」即可開始。"
,,,,,,,"試試執行以下指令：
 
 gcloud alpha dlp text inspect \\
 --content-file=memo.txt \\
 --include-quote \\
 --min-likelihood=LIKELY
 
 查看「infoType」等於「PERSON_NAME」的結果，特別是「quote」欄位中的值。"
,,,,,,,"Memo.txt 中的敏感名字是什麽？
 Donald Fleasley
 Paul Fleishman
 Paul
 Fatty
 Revolio Clockberg
 Revolio Clockberg Jr."
,,,,,,,paul fleishman
